NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,10500,,"Albany, GA",152219,101,255,2.52,Very Low,0.81,Low,Cyber Security Engineer,Oracle Database Administrator,Cyber Security Specialist / Technician,,,,,,,,22,47,66,33,0,6,22,120,22,<10,<10,<10,<10,44,18,0,3,2,10
,10540,,"Albany, OR",122849,2,11,5.5,Average,0.02,Very Low,,,,,,,,,,,0,2,2,0,0,0,0,26,12,<10,<10,<10,<10,0,0,0,0,0,0
,10740,,"Albuquerque, NM",909906,711,1930,2.71,Very Low,0.87,Average,Cyber Security Engineer,Systems Administrator,Cyber Security Analyst,Cyber Security Manager / Administrator,Security Officer,Software Developer / Engineer,Network Engineer / Architect,Mechanical Engineer,Systems Engineer,Information Assurance Engineer / Analyst,254,362,443,241,4,127,173,567,202,<10,39,18,135,150,160,0,14,35,54
,10780,,"Alexandria, LA",154789,33,80,2.42,Very Low,0.25,Very Low,Cyber Security Engineer,,,,,,,,,,4,12,20,16,0,2,13,34,<10,<10,<10,<10,<10,0,0,0,0,0,0
,10900,,"Allentown-Bethlehem-Easton, PA-NJ",835652,231,859,3.72,Low,0.31,Very Low,Cyber Security Engineer,Cyber Security Analyst,Internal Auditor,Cyber Security Specialist / Technician,Internal Audit Manager,Cyber Security Manager / Administrator,Network Engineer / Architect,Systems Analyst,Network Administrator,Software Developer / Engineer,88,131,129,92,0,37,70,133,99,<10,51,26,70,15,34,0,46,11,15
,11020,,"Altoona, PA",124650,24,101,4.21,Low,0.19,Very Low,,,,,,,,,,,5,6,12,6,0,5,17,21,11,<10,<10,<10,<10,1,0,0,0,0,0
,11100,,"Amarillo, TX",263342,38,181,4.76,Average,0.15,Very Low,Cyber Security Engineer,IT Specialist / Engineer,,,,,,,,,9,29,27,19,0,7,12,45,20,<10,<10,<10,13,1,4,0,0,0,5
,11180,,"Ames, IA",97090,70,137,1.96,Very Low,0.75,Low,Application Support Engineer / Analyst,Systems Support Specialist,Software Developer / Engineer,,,,,,,,34,43,30,15,0,5,14,11,<10,<10,<10,<10,11,1,2,0,1,2,0
,11260,,"Anchorage, AK",402557,219,565,2.58,Very Low,0.58,Very Low,Cyber Security Engineer,Systems Administrator,Cyber Security Manager / Administrator,Network Analyst / Specialist,Systems Engineer,Cyber Security Analyst,Network Engineer / Architect,Senior Software Developer / Engineer,Cyber Security Consultant,Cyber Security Specialist / Technician,82,102,148,90,1,44,63,444,141,<10,20,17,63,40,37,0,19,17,33
,11460,,"Ann Arbor, MI",364709,420,985,2.35,Very Low,0.93,Average,Cyber Security Engineer,Cyber Security Architect,Cyber Security Analyst,Vulnerability Analyst / Penetration Tester,Network Engineer / Architect,Software Developer / Engineer,Cyber Security Manager / Administrator,Network Administrator,Technical Support Engineer / Analyst,Database Administrator,158,246,267,152,0,51,119,51,73,<10,35,<10,55,2,100,1,39,27,19
