NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,39,OH,,11614373,6368,21911,3.44,Very Low,0.61,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,IT Auditor,Cyber Security Manager / Administrator,Software Developer / Engineer,Vulnerability Analyst / Penetration Tester,Systems Engineer,Systems Administrator,Cyber Security Consultant,2654,3892,4221,2517,54,966,1701,,,,,,,427,1529,24,1005,507,433
,40,OK,,3923561,1344,4727,3.52,Very Low,0.43,Very Low,Cyber Security Engineer,Cyber Security Analyst,Software Developer / Engineer,Network Engineer / Architect,Cyber Security Manager / Administrator,IT Auditor,Network Administrator,Systems Administrator,IT Director,Information Assurance Engineer / Analyst,461,780,917,509,6,254,331,,,,,,,186,267,5,116,76,100
,41,OR,,4093465,2956,6416,2.17,Very Low,0.85,Average,Cyber Security Analyst,Cyber Security Engineer,Network Engineer / Architect,Vulnerability Analyst / Penetration Tester,Cyber Security Manager / Administrator,Systems Engineer,Systems Administrator,Software Developer / Engineer,Cyber Security Architect,Cyber Security Consultant,1313,1732,1931,1182,23,560,835,,,,,,,92,700,18,344,256,320
,42,PA,,12784227,7896,22519,2.85,Very Low,0.71,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,IT Auditor,Software Developer / Engineer,Cyber Security Manager / Administrator,Systems Engineer,Systems Analyst,IT Project Manager,Cyber Security Specialist / Technician,3110,4915,4762,2827,38,1192,2251,,,,,,,455,1768,53,1234,721,613
,44,RI,,1056426,882,2782,3.15,Very Low,0.95,Average,Cyber Security Engineer,Cyber Security Analyst,IT Auditor,Network Engineer / Architect,Cyber Security Architect,Cyber Security Manager / Administrator,Cyber Security Specialist / Technician,Information Assurance Engineer / Analyst,Incident Analyst / Responder,IT Manager,395,558,640,398,7,125,255,,,,,,,96,281,2,166,151,114
,45,SC,,4961119,2694,7707,2.86,Very Low,0.7,Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Systems Administrator,Software Developer / Engineer,Cyber Security Manager / Administrator,Systems Engineer,Information Assurance Engineer / Analyst,Cyber Security Specialist / Technician,IT Auditor,959,1691,1850,1026,11,442,585,,,,,,,454,502,16,225,162,361
,46,SD,,865454,477,1259,2.64,Very Low,0.59,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Administrator,Vulnerability Analyst / Penetration Tester,IT Director,Network Administrator,Systems Engineer,Cyber Security Specialist / Technician,174,269,346,241,8,109,175,,,,,,,26,75,0,54,30,24
,47,TN,,6651194,2811,8283,2.95,Very Low,0.5,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,IT Auditor,Systems Engineer,Cyber Security Specialist / Technician,Systems Administrator,Software Developer / Engineer,1078,1603,1866,1132,5,464,891,,,,,,,150,644,8,446,289,304
,48,TX,,27862596,19419,62769,3.23,Very Low,0.85,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Software Developer / Engineer,Systems Engineer,Vulnerability Analyst / Penetration Tester,IT Auditor,Cyber Security Consultant,Cyber Security Specialist / Technician,7707,12295,12417,8158,125,3364,5722,,,,,,,1286,4933,115,2647,1721,2038
,49,UT,,3051217,1821,4838,2.66,Very Low,0.68,Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Systems Administrator,Software Developer / Engineer,Network Engineer / Architect,Information Assurance Engineer / Analyst,Systems Engineer,Technical Support Engineer / Analyst,Software Architect,658,1068,1197,750,6,306,472,,,,,,,256,370,11,163,117,169
,51,VA,,8411808,31316,66206,2.11,Very Low,4.27,Very High,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Systems Engineer,Software Developer / Engineer,Cyber Security Manager / Administrator,Systems Administrator,Information Assurance Engineer / Analyst,Incident Analyst / Responder,Vulnerability Analyst / Penetration Tester,10488,18821,20915,11646,369,4987,6609,,,,,,,7523,9608,83,2788,2431,4359
,50,VT,,624594,305,727,2.38,Very Low,0.51,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Architect,IT Director,Cyber Security Specialist / Technician,IT Auditor,Systems Engineer,Vulnerability Analyst / Penetration Tester,Support Engineer,73,215,221,143,8,44,107,,,,,,,12,90,0,31,9,26
,53,WA,,7288000,6164,15951,2.59,Very Low,1.03,Average,Cyber Security Engineer,Cyber Security Analyst,Software Developer / Engineer,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Engineer,Vulnerability Analyst / Penetration Tester,Systems Administrator,IT Auditor,Cyber Security Consultant,2464,3697,3618,2423,39,991,1993,,,,,,,334,1515,61,854,594,545
,55,WI,,5778708,2555,8561,3.35,Very Low,0.47,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,IT Auditor,Vulnerability Analyst / Penetration Tester,Cyber Security Consultant,Systems Engineer,IT Manager,Cyber Security Specialist / Technician,1176,1504,1724,1114,34,588,871,,,,,,,68,539,15,343,172,209
,54,WV,,1831102,908,2284,2.52,Very Low,0.67,Very Low,Cyber Security Engineer,Systems Administrator,Cyber Security Analyst,Network Engineer / Architect,Information Assurance Engineer / Analyst,Software Developer / Engineer,Cyber Security Specialist / Technician,Network Analyst / Specialist,Cyber Security Manager / Administrator,Database Administrator,265,487,624,354,14,126,261,,,,,,,177,211,0,71,51,109
,56,WY,,585501,109,296,2.72,Very Low,0.2,Very Low,Cyber Security Engineer,Network Engineer / Architect,Vulnerability Analyst / Penetration Tester,Cyber Security Analyst,Computer Repair Technician,IT Manager,Systems Administrator,Cyber Security Specialist / Technician,Cyber Security Architect,Systems Engineer,33,53,80,45,3,13,38,,,,,,,14,15,0,8,6,11
,10180,,"Abilene, TX",170364,21,69,3.29,Very Low,0.17,Very Low,Cyber Security Specialist / Technician,IT Project Manager,Systems Engineer,Systems Administrator,Network Analyst / Specialist,Cyber Security Manager / Administrator,,,,,6,4,15,10,0,1,6,,,,,,,2,4,0,0,4,4
,10380,,"Aguadilla-Isabela, PR",309696,10,50,5,Average,0.12,Very Low,Network Engineer / Architect,Cyber Security Specialist / Technician,Cyber Security Engineer,Systems Administrator,,,,,,,6,2,8,3,0,1,1,,,,,,,5,2,0,0,0,0
,10420,,"Akron, OH",702221,192,924,4.81,Average,0.3,Very Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,IT Auditor,Cyber Security Manager / Administrator,Systems Engineer,IT Director,Application Developer / Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Specialist / Technician,60,121,134,69,4,26,42,,,,,,,8,33,1,9,11,9
