NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,27060,,"Ithaca, NY",104871,42,158,3.8,Low,0.4,Very Low,Network Administrator,Cyber Security Engineer,Systems Support Specialist,Software Developer / Engineer,Technical Support Engineer / Analyst,Systems Engineer,Cyber Security Analyst,Chief Information Officer,IT Director,Network Analyst / Specialist,8,19,32,23,0,8,14,<10,<10,<10,<10,<10,12,1,8,0,3,7,0
,27100,,"Jackson, MI",158460,134,144,1.1,Very Low,1.1,Average,Cyber Security Engineer,Technical Support Engineer / Analyst,Software Developer / Engineer,IT Auditor,Network Engineer / Architect,Systems Integration Engineer / Specialist,Programmer / Analyst,Incident Analyst / Responder,Systems Analyst,Application Developer / Engineer,46,98,89,49,0,11,17,28,12,<10,<10,<10,40,0,5,0,11,0,7
,27140,,"Jackson, MS",579229,208,607,2.9,Very Low,0.4,Very Low,Network Engineer / Architect,Cyber Security Engineer,Cyber Security Manager / Administrator,Cyber Security Analyst,Cyber Security Architect,Systems Administrator,IT Auditor,Network Administrator,Software Developer / Engineer,Business Analyst (General),67,135,168,87,2,40,73,203,46,<10,41,10,56,4,61,0,33,42,15
,27180,,"Jackson, TN",129527,1,31,31,Very High,0,Very Low,,,,,,,,,,,1,0,0,0,0,0,0,15,<10,<10,<10,<10,<10,0,0,0,0,0,0
,27260,,"Jacksonville, FL",1478212,1078,3875,3.6,Very Low,0.8,Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,IT Auditor,Systems Administrator,Cyber Security Manager / Administrator,Cyber Security Specialist / Technician,Systems Engineer,Vulnerability Analyst / Penetration Tester,Software Developer / Engineer,414,673,720,408,4,163,237,1200,242,29,198,85,178,103,264,4,180,110,119
,27340,,"Jacksonville, NC",187136,180,415,2.3,Very Low,2,Very High,Systems Administrator,Cyber Security Manager / Administrator,Software Developer / Engineer,Incident Analyst / Responder,Systems Analyst,Cyber Security Specialist / Technician,Cyber Security Engineer,Systems Engineer,Database Architect,Computer Programmer,68,58,109,63,1,21,27,756,47,<10,<10,<10,<10,102,12,0,2,3,66
,27500,,"Janesville-Beloit, WI",161620,16,85,5.3,Average,0.1,Very Low,Cyber Security Engineer,Network Engineer / Architect,Systems Support Specialist,Network Administrator,Help Desk Technician / Analyst,Systems Engineer,,,,,2,6,9,3,0,0,3,17,<10,<10,<10,<10,<10,0,0,0,1,0,0
,27620,,"Jefferson City, MO",151391,90,299,3.3,Very Low,0.6,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Consultant,Information Assurance Engineer / Analyst,Vulnerability Analyst / Penetration Tester,Business Intelligence Analyst,Network Engineer / Architect,Cyber Security Architect,GIS Analyst,Incident Analyst / Responder,29,55,61,43,2,20,28,54,12,<10,10,<10,<10,2,10,0,6,2,5
,27740,,"Johnson City, TN",201661,28,126,4.5,Average,0.2,Very Low,Cyber Security Engineer,Network Engineer / Architect,,,,,,,,,3,25,22,19,0,1,2,20,15,<10,<10,<10,<10,1,12,0,2,0,8
,27780,,"Johnstown, PA",134732,26,172,6.6,Average,0.2,Very Low,Cyber Security Manager / Administrator,Cyber Security Analyst,Cyber Security Engineer,Systems Administrator,Network Engineer / Architect,Network Administrator,IT Director,Network Support Technician,Information Assurance Engineer / Analyst,,15,12,22,16,0,14,14,48,<10,<10,<10,<10,<10,5,10,0,2,2,0
,27860,,"Jonesboro, AR",129858,10,36,3.6,Very Low,0.1,Very Low,Cyber Security Analyst,Cyber Security Engineer,Technical Consultant / Analyst,,,,,,,,3,4,6,4,0,4,5,14,<10,<10,<10,<10,<10,0,0,0,0,0,0
,27900,,"Joplin, MO",177805,54,94,1.7,Very Low,0.3,Very Low,Cyber Security Engineer,Network Engineer / Architect,Network Analyst / Specialist,Software Developer / Engineer,Cyber Security Manager / Administrator,Computer Support Specialist,Infrastructure Architect,,,,16,40,41,28,0,2,9,25,<10,<10,<10,<10,<10,0,15,0,15,0,0
,27980,,"Kahului-Wailuku-Lahaina, HI",165474,10,112,11.2,Very High,0.1,Very Low,Information Assurance Engineer / Analyst,Cyber Security Manager / Administrator,IT Director,,,,,,,,4,1,3,2,0,2,5,66,44,<10,<10,<10,<10,0,0,0,0,0,0
,28020,,"Kalamazoo-Portage, MI",336877,121,234,1.9,Very Low,0.4,Very Low,IT Auditor,Computer Support Specialist,Cyber Security Engineer,IT Director,Software Developer / Engineer,Network Engineer / Architect,Network Administrator,Security / Defense Intelligence Analyst,Systems Support Specialist,IT Administrator,46,63,88,23,4,19,45,97,18,<10,12,<10,49,15,21,0,30,15,0
,28100,,"Kankakee, IL",110008,5,32,6.4,Average,0.1,Very Low,Network Administrator,Cyber Security Manager / Administrator,IT Specialist / Engineer,,,,,,,,1,0,4,2,0,1,1,12,<10,<10,<10,<10,<10,0,0,0,0,0,0
,28140,,"Kansas City, MO-KS",2104509,1944,5971,3.1,Very Low,0.9,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Systems Engineer,IT Auditor,Systems Administrator,Cyber Security Manager / Administrator,Software Developer / Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Specialist / Technician,668,1216,1304,792,8,290,433,1174,341,42,266,83,278,265,449,4,240,118,211
,28420,,"Kennewick-Richland, WA",283846,131,329,2.5,Very Low,0.6,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Software Developer / Engineer,Information Assurance Engineer / Analyst,Incident Analyst / Responder,Systems Support Specialist,Network Engineer / Architect,IT Director,Cyber Security Specialist / Technician,62,88,104,86,5,35,25,73,29,<10,13,<10,44,5,22,0,8,8,5
,28660,,"Killeen-Temple, TX",435857,165,720,4.4,Low,0.6,Very Low,Cyber Security Engineer,Systems Analyst,Information Assurance Engineer / Analyst,Systems Administrator,Cyber Security Specialist / Technician,Mathematician,Systems Engineer,Computer Support Specialist,IT Specialist / Engineer,Database Analyst / Developer,50,66,96,35,0,13,29,1349,58,<10,<10,<10,80,89,17,0,3,2,20
,28700,,"Kingsport-Bristol-Bristol, TN-VA",306334,24,123,5.1,Average,0.1,Very Low,IT Auditor,Cyber Security Analyst,Operations Analyst (General),IT Specialist / Engineer,Cyber Security Engineer,Cyber Security Manager / Administrator,Network Engineer / Architect,,,,9,11,17,10,0,8,3,22,16,<10,<10,<10,13,0,0,0,3,0,0
,28740,,"Kingston, NY",179225,7,52,7.4,High,0.1,Very Low,Cyber Security Engineer,IT Director,,,,,,,,,1,5,6,5,0,2,7,33,22,<10,<10,<10,<10,0,0,0,0,0,0
,28940,,"Knoxville, TN",868546,388,1207,3.1,Very Low,0.5,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Help Desk Technician / Analyst,Cyber Security Consultant,Vulnerability Analyst / Penetration Tester,Systems Administrator,Systems Engineer,Information Assurance Engineer / Analyst,150,228,294,173,1,74,127,292,129,<10,54,10,132,33,81,1,32,29,47
